Team_ID,Squad,MP,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,SCA90,GCA90,Sh90,SoT90,SoT%,G/Sh,G/SoT,GA90,Save%,SoTA90
18bb7c10,eng Arsenal,8,2.04,1.68,3.72,1.92,3.6,21.36,3.48,11.88,4.2,0.35,0.16,0.46,0.6,0.78,2.77
db3b9613,es Atlético Madrid,8,2.04,1.2,3.24,2.04,3.24,25.2,3.12,13.44,4.8,0.36,0.15,0.43,0.96,0.78,4.34
206d90db,es Barcelona,8,1.87,1.87,3.75,1.87,3.75,28.87,3.25,17.0,5.75,0.34,0.11,0.33,1.0,0.69,3.25
054efa67,de Bayern Munich,8,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,2.75
add600ae,de Dortmund,8,1.25,1.13,2.37,1.13,2.25,23.37,2.37,13.25,4.75,0.36,0.08,0.24,0.62,0.91,4.13
18050b20,dk FC Copenhagen,8,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,5.5
7213da33,it Lazio,8,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,3.88
b8fd03ef,eng Manchester City,8,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,2.38
d609edc0,it Inter,8,1.2,0.72,1.92,0.84,1.56,24.36,1.92,13.92,4.08,0.29,0.06,0.21,1.2,0.81,4.46
d48ad4ff,it Napoli,8,1.25,0.62,1.87,1.13,1.75,24.87,2.25,13.5,4.0,0.3,0.08,0.28,1.62,0.71,5.63
e2d8892c,fr Paris S-G,8,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,4.5
5e876ee6,pt Porto,8,1.92,1.44,3.36,1.8,3.24,21.84,3.0,12.36,5.4,0.44,0.15,0.33,1.08,0.68,3.37
e334d850,nl PSV Eindhoven,8,1.0,0.62,1.62,0.75,1.37,29.0,1.87,15.5,5.25,0.34,0.05,0.14,1.62,0.62,4.25
acbb6a5b,de RB Leipzig,8,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,0.33,0.11,0.34,1.5,0.6,3.75
53a2f082,es Real Madrid,8,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,0.32,0.11,0.35,1.0,0.8,4.38
e31d1cd9,es Real Sociedad,8,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,0.32,0.08,0.24,0.75,0.76,3.13
